region,year,week,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM25,RH,SO2
中彰投,2018,15,24.98,1.94,11.14,13.04,31.14,44.31,20.63,71.64,2.67
中彰投,2018,16,23.53,1.63,14.33,16.03,40.63,62.65,32.01,75.18,3.2
中彰投,2018,17,25.52,1.74,14.08,15.69,37.99,57.38,31.12,74.52,2.99
中彰投,2018,18,27.3,1.72,11.17,12.85,33.96,50.11,25.04,72.56,2.9
中彰投,2018,19,26.25,1.55,11.93,13.51,31.65,42.34,19.16,76.18,2.7
中彰投,2018,20,29.02,2.22,8.6,10.87,20.31,30.86,14.96,73.84,2.64
中彰投,2018,21,29.25,1.9,10.43,12.14,28.86,39.22,20.36,70.91,3.19
中彰投,2018,22,29.32,1.4,9.57,10.99,34.96,37.33,17.82,72.54,2.81
中彰投,2018,23,29.27,1.46,9.94,11.4,32.67,37.96,17.92,74.26,3.17
中彰投,2018,24,28.09,1.21,10.65,11.94,41.64,37.69,18.01,75.13,2.95
中彰投,2018,25,27.16,2.03,7.2,9.27,16.72,21.95,7.84,83.55,2.14
中彰投,2018,26,28.41,2.2,8.1,10.2,20.81,28.9,12.43,75.85,2.68
中彰投,2018,27,27.33,2.05,7.41,9.58,17.18,21.57,8.48,81.38,2.16
中彰投,2018,28,28.58,1.88,8.27,10.12,26.06,36.07,17.78,77.36,3.08
中彰投,2018,29,29.47,1.31,8.56,9.95,33.92,42.78,23.96,75.24,2.9
中彰投,2018,30,28.99,1.93,7.88,9.61,22.96,29.29,14.55,76.89,2.61
中彰投,2018,31,29.36,1.76,6.99,8.75,24.07,28.01,12.86,74.62,2.33
中彰投,2018,32,29.36,1.27,7.97,9.44,34.1,37.39,22.63,73.95,2.95
中彰投,2018,33,28.11,1.61,7.76,9.3,25.52,22.48,10.31,80.05,2.21
中彰投,2018,34,26.89,1.49,7.97,9.46,29.81,19.22,9.12,86.02,2.26
中彰投,2018,35,26.75,2.76,7.79,10.63,17.08,23.73,10.17,81.65,2.16
中彰投,2018,36,28.01,1.97,8.11,9.9,27.9,30.98,15.02,78.2,2.29
中彰投,2018,37,27.77,2.4,11.33,13.81,28.71,42.51,20.72,77.26,2.99
中彰投,2018,38,28.6,2.12,10.04,12.18,28.57,43.28,24.18,75.58,2.71
中彰投,2018,39,26.68,1.14,8.17,9.39,42.05,39.55,15.21,69.39,2.27
中彰投,2018,40,25.24,1.34,11.65,13.01,51.35,51.79,24.02,66.41,2.54
中彰投,2018,41,24.78,1.94,12.55,14.5,33.85,37.55,18.69,76.42,2.49
中彰投,2018,42,24.36,1.74,13.08,14.85,35.24,38.26,18.3,75.8,2.56
中彰投,2018,43,24.08,1.94,13.08,15.02,39.59,55.48,25.16,71.25,2.82
中彰投,2018,44,22.89,2.88,14.28,16.99,31.99,39.8,16.94,74.25,2.37
中彰投,2018,45,24.7,2.95,15.68,18.61,30.69,68.72,36.76,79.15,3.06
中彰投,2018,46,23.54,2.75,15.95,18.72,29.07,50.84,24.47,76.39,2.89
中彰投,2018,47,21.93,2.7,14.86,17.63,28.21,43.99,20.17,74.43,2.49
中彰投,2018,48,21.28,3.79,16.01,19.73,26.49,50.04,24.68,78.59,2.77
中彰投,2018,49,22.37,3.91,14.78,18.7,23.94,39.69,16.88,73.26,2.32
中彰投,2018,50,20.11,2.99,14.64,17.5,22.26,35.57,15.92,76.78,2.31
中彰投,2018,51,20.05,3.3,17.72,21.01,31.28,65.02,29.91,70.47,2.86
中彰投,2018,52,18.78,2.2,12.14,14.34,26.6,28.46,10.85,74.63,2.06
中彰投,2019,1,19.81,4.25,16.07,20.37,19.57,40.28,19.3,81.51,2.3
中彰投,2019,2,20.69,4.54,16.55,21.09,21.35,47.78,21.01,79.45,2.3
中彰投,2019,3,17.76,2.52,15.04,17.57,27.56,53.06,25.78,80.82,2.26
中彰投,2019,4,16.26,2.76,16.25,18.97,32.2,57.28,25.76,70.09,2.49
中彰投,2019,5,19.39,3.32,17.41,20.75,29.54,60.89,29.83,72.41,2.39
中彰投,2019,6,20.07,1.63,10.9,12.49,27.95,46.48,22.26,74.13,2.13
中彰投,2019,7,20.68,2.63,14.6,17.09,26.08,42.8,20.8,75.49,2.33
中彰投,2019,8,19.94,3.02,15.59,18.6,25.31,47.58,24.57,80.11,2.23
中彰投,2019,9,20.79,1.96,15.18,17.22,31.28,59.72,31.63,77.04,2.39
中彰投,2019,10,17.92,2.76,16.51,19.27,27.23,30.44,17.08,85.54,2.14
中彰投,2019,11,20.51,2.33,16.41,18.78,36.81,60.47,33.23,71.92,2.63
中彰投,2019,12,21.54,3.23,14.66,17.85,25.59,48.22,25.94,79.88,2.41
中彰投,2019,13,22.5,1.78,12.29,14.05,35.07,44.61,22.98,76.94,2.23
中彰投,2019,14,23.01,2.11,12.2,14.35,36.39,53.49,31.1,78.94,2.28
中彰投,2019,15,24.04,1.79,11.44,13.24,30.86,39.07,20.7,76.54,2.28
中彰投,2019,16,24.23,2.09,13.18,15.28,31.03,35.6,19.24,80.63,2.27
中彰投,2019,17,27.04,1.89,9.45,11.24,29.93,37.91,20.13,73.25,2.38
中彰投,2019,18,23.29,1.93,11.96,13.89,30.45,34.3,16.21,80.93,1.98
中彰投,2019,19,24.25,2.04,13.43,15.53,29.89,38.19,19.87,81.84,2.47
中彰投,2019,20,27.06,2.13,8.0,10.21,17.8,26.41,12.62,81.31,2.02
中彰投,2019,21,25.64,1.81,12.79,14.56,34.19,47.99,24.75,78.61,2.6
中彰投,2019,22,26.84,1.91,9.2,11.22,23.81,25.83,11.48,76.59,2.39
中彰投,2019,23,28.02,2.5,7.49,10.03,16.52,19.68,8.96,74.46,2.11
中彰投,2019,24,26.49,2.12,10.3,12.38,30.36,19.71,11.29,81.5,2.15
中彰投,2019,25,28.79,2.23,7.36,9.58,17.6,20.5,8.51,73.29,2.08
中彰投,2019,26,28.55,2.12,7.18,9.32,22.59,18.52,8.15,74.52,2.03
中彰投,2019,27,28.61,1.78,5.88,7.69,18.61,19.67,7.29,73.99,2.02
中彰投,2019,28,29.57,1.81,5.67,7.51,19.09,19.33,10.84,72.0,2.0
中彰投,2019,29,29.38,1.96,7.44,9.3,25.39,26.33,14.27,74.88,2.07
中彰投,2019,30,29.06,2.0,6.87,8.77,21.66,19.81,9.23,75.4,2.17
中彰投,2019,31,29.32,1.75,7.97,9.64,29.34,29.26,16.0,75.63,2.55
中彰投,2019,32,29.04,1.87,6.16,7.93,26.53,29.45,13.51,80.38,2.18
中彰投,2019,33,27.06,1.62,6.31,7.8,27.95,14.17,7.62,84.83,1.91
中彰投,2019,34,28.37,2.0,8.47,10.49,25.67,26.78,15.52,81.29,2.36
中彰投,2019,35,28.79,1.89,8.37,10.25,29.11,31.3,19.03,78.64,2.68
中彰投,2019,36,28.25,1.97,8.5,10.33,27.94,25.66,15.52,79.46,2.46
中彰投,2019,37,28.77,1.28,8.93,10.32,36.34,37.65,23.51,75.53,2.49
中彰投,2019,38,26.28,1.13,8.5,9.72,50.31,36.8,15.55,68.55,2.18
中彰投,2019,39,26.76,2.22,11.43,13.66,30.71,34.71,17.2,76.4,2.32
中彰投,2019,40,27.67,1.92,9.98,11.68,37.55,51.54,35.02,77.12,2.61
中彰投,2019,41,26.93,1.62,11.75,13.32,40.29,48.86,26.87,73.72,2.57
中彰投,2019,42,24.58,1.49,10.19,11.64,42.81,37.24,15.7,68.21,2.19
中彰投,2019,43,24.63,1.91,13.63,15.43,37.63,41.21,21.31,73.39,2.52
中彰投,2019,44,24.6,1.77,12.17,13.99,36.84,51.01,22.54,77.28,2.2
中彰投,2019,45,22.81,1.76,11.99,13.75,39.89,40.46,18.07,69.4,2.21
中彰投,2019,46,22.63,2.49,15.58,17.99,39.2,58.13,31.55,72.29,2.43
中彰投,2019,47,22.25,2.55,11.9,14.36,27.29,31.81,14.65,76.69,2.19
中彰投,2019,48,20.96,2.11,12.22,14.36,30.81,36.6,15.86,73.0,2.21
中彰投,2019,49,16.4,2.45,11.69,14.21,29.67,24.33,11.57,74.8,1.93
中彰投,2019,50,19.25,4.54,17.31,21.83,26.71,45.62,24.7,76.43,2.36
中彰投,2019,51,20.46,5.51,14.83,20.36,19.2,31.68,16.59,81.73,2.22
中彰投,2019,52,19.21,3.32,15.2,18.53,22.16,31.87,15.8,81.21,2.21
北北基桃竹苗,2016,1,18.81,11.49,19.26,30.7,20.04,47.43,24.88,86.46,3.02
北北基桃竹苗,2016,2,15.84,5.53,15.89,21.41,28.82,38.94,20.36,83.34,2.63
北北基桃竹苗,2016,3,15.5,6.28,17.39,23.66,26.31,40.75,21.96,84.26,2.41
北北基桃竹苗,2016,4,12.09,10.51,16.32,26.83,25.36,35.27,15.96,76.77,2.78
北北基桃竹苗,2016,5,14.87,6.49,15.55,21.99,27.1,23.6,9.42,87.72,2.09
北北基桃竹苗,2016,6,14.13,4.92,15.92,20.81,37.66,57.07,31.14,64.5,2.97
北北基桃竹苗,2016,7,15.78,6.41,15.59,22.0,24.54,33.28,17.01,79.29,2.19
北北基桃竹苗,2016,8,14.44,5.17,14.74,19.87,33.65,51.95,21.46,80.18,2.04
北北基桃竹苗,2016,9,15.91,5.6,17.77,23.39,34.8,44.16,20.76,72.96,2.4
北北基桃竹苗,2016,10,18.97,9.57,20.72,30.27,23.48,46.06,25.79,81.48,3.12
北北基桃竹苗,2016,11,14.76,11.26,21.43,32.7,26.5,35.41,18.68,88.98,2.33
北北基桃竹苗,2016,12,17.62,11.28,19.82,31.08,30.97,45.83,24.0,88.69,2.41
北北基桃竹苗,2016,13,15.65,6.33,21.92,28.23,40.76,61.53,33.24,69.63,3.25
北北基桃竹苗,2016,14,23.32,6.69,19.99,26.7,27.34,65.35,39.64,80.62,3.54
北北基桃竹苗,2016,15,21.78,5.63,18.44,24.01,25.84,40.96,23.49,87.94,2.91
北北基桃竹苗,2016,16,22.99,6.82,18.18,24.96,31.91,43.18,21.63,82.28,2.85
北北基桃竹苗,2016,17,24.99,5.41,15.19,20.55,28.48,47.03,26.07,81.38,3.2
北北基桃竹苗,2016,18,24.8,4.53,17.08,21.62,39.73,59.97,34.1,75.11,3.37
北北基桃竹苗,2016,19,26.56,5.38,14.83,20.27,28.89,39.66,20.13,77.05,3.32
北北基桃竹苗,2016,20,24.43,3.64,13.16,16.75,36.04,35.9,17.1,78.45,2.54
北北基桃竹苗,2016,21,25.79,5.84,17.18,22.99,24.38,38.69,21.32,83.93,3.66
北北基桃竹苗,2016,22,29.57,5.12,12.01,17.09,22.67,32.88,13.99,74.09,2.92
北北基桃竹苗,2016,23,28.23,5.19,12.98,18.17,26.0,31.7,14.27,77.35,2.85
北北基桃竹苗,2016,24,27.83,7.04,10.95,17.96,19.36,23.94,8.58,77.47,2.24
北北基桃竹苗,2016,25,29.4,5.34,12.49,17.81,22.79,28.84,12.12,73.46,3.2
北北基桃竹苗,2016,26,29.68,5.26,12.82,18.09,24.26,29.24,13.09,73.77,3.29
北北基桃竹苗,2016,27,29.56,5.2,10.42,15.62,21.09,27.22,10.78,73.32,2.65
北北基桃竹苗,2016,28,29.13,4.88,10.83,15.63,21.99,25.9,9.67,75.72,2.47
北北基桃竹苗,2016,29,29.79,5.75,11.91,17.6,20.78,32.13,13.77,70.72,2.63
北北基桃竹苗,2016,30,30.32,4.4,13.21,17.61,29.96,36.54,19.27,68.73,3.72
北北基桃竹苗,2016,31,30.22,4.06,11.59,15.64,28.31,31.53,14.18,69.82,2.95
北北基桃竹苗,2016,32,29.53,4.83,11.76,16.61,23.04,27.1,11.47,75.28,2.99
北北基桃竹苗,2016,33,28.91,4.54,11.67,16.19,25.1,26.04,10.34,75.98,2.67
北北基桃竹苗,2016,34,29.6,4.57,12.13,16.72,26.98,37.04,16.77,72.24,3.18
北北基桃竹苗,2016,35,28.27,3.57,14.51,18.02,46.33,47.35,23.78,67.38,3.2
北北基桃竹苗,2016,36,28.33,5.13,13.09,18.19,23.26,27.96,12.25,77.97,2.76
北北基桃竹苗,2016,37,27.59,5.88,11.45,17.34,20.44,26.19,9.82,80.57,2.42
北北基桃竹苗,2016,38,26.52,4.36,10.45,14.81,30.6,33.64,12.22,76.16,2.2
北北基桃竹苗,2016,39,27.19,3.81,9.81,13.58,25.55,31.61,13.02,79.17,2.29
北北基桃竹苗,2016,40,27.76,5.88,11.33,17.19,21.8,32.36,13.74,75.55,2.56
北北基桃竹苗,2016,41,24.52,5.66,11.48,17.07,28.01,23.69,8.56,87.36,2.11
北北基桃竹苗,2016,42,27.59,4.78,9.82,14.57,24.6,34.77,15.66,77.19,2.53
北北基桃竹苗,2016,43,27.64,5.41,15.8,21.23,27.97,44.57,21.77,78.25,3.59
北北基桃竹苗,2016,44,22.99,3.54,11.12,14.64,35.58,36.28,13.77,76.3,2.6
北北基桃竹苗,2016,45,22.06,5.33,15.56,20.88,30.31,37.28,16.91,78.54,2.82
北北基桃竹苗,2016,46,23.65,5.82,17.55,23.33,31.97,48.81,22.8,77.17,3.25
北北基桃竹苗,2016,47,22.27,7.24,17.03,24.24,23.78,31.01,13.43,82.4,3.09
北北基桃竹苗,2016,48,20.39,4.5,13.14,17.59,29.44,38.09,14.22,78.96,2.17
北北基桃竹苗,2016,49,20.4,3.91,13.38,17.28,31.64,42.9,17.6,78.93,2.78
北北基桃竹苗,2016,50,19.13,5.04,14.14,19.2,32.06,40.56,16.94,76.59,2.43
北北基桃竹苗,2016,51,19.85,7.66,17.7,25.39,27.13,41.93,20.08,71.86,2.81
北北基桃竹苗,2016,52,17.87,4.64,13.73,18.32,31.54,41.76,18.69,73.49,2.23
北北基桃竹苗,2017,1,21.03,6.69,17.32,23.98,24.68,46.98,23.34,81.77,2.84
北北基桃竹苗,2017,2,17.74,4.28,14.27,18.53,31.18,40.09,20.73,79.91,2.76
北北基桃竹苗,2017,3,16.11,5.2,13.94,19.16,29.23,32.58,13.17,80.3,2.19
北北基桃竹苗,2017,4,15.9,3.92,11.99,15.86,36.61,38.34,16.93,72.29,2.26
北北基桃竹苗,2017,5,17.78,4.58,12.32,16.88,29.93,36.24,17.24,78.22,2.15
北北基桃竹苗,2017,6,15.05,3.93,12.22,16.14,36.93,50.18,25.25,69.28,2.37
北北基桃竹苗,2017,7,17.37,5.82,16.85,22.67,36.55,44.31,21.63,66.09,2.51
北北基桃竹苗,2017,8,17.25,6.43,17.15,23.56,29.89,35.7,18.12,83.3,2.14
北北基桃竹苗,2017,9,15.48,6.21,18.11,24.32,36.11,49.49,24.21,75.0,2.77
北北基桃竹苗,2017,10,16.61,5.88,19.32,25.17,38.12,45.08,23.93,82.34,2.63
北北基桃竹苗,2017,11,17.46,4.68,16.35,21.04,35.54,39.52,18.31,83.88,2.31
北北基桃竹苗,2017,12,19.44,5.11,16.22,21.25,37.08,33.88,15.79,82.67,2.62
北北基桃竹苗,2017,13,18.56,5.1,18.75,23.88,43.94,66.32,32.45,70.54,3.04
北北基桃竹苗,2017,14,21.67,5.21,17.84,22.97,42.62,52.92,29.33,63.33,3.11
北北基桃竹苗,2017,15,22.53,6.1,17.88,23.97,31.12,42.84,21.23,78.84,3.01
北北基桃竹苗,2017,16,24.56,6.04,15.18,21.19,27.63,43.64,22.63,80.38,2.68
北北基桃竹苗,2017,17,20.88,5.75,17.84,23.56,41.05,42.57,18.82,72.67,2.72
北北基桃竹苗,2017,18,25.07,5.06,16.63,21.64,33.94,45.54,25.07,73.38,3.46
北北基桃竹苗,2017,19,26.17,4.72,15.12,19.84,30.72,47.66,19.86,77.13,3.18
北北基桃竹苗,2017,20,24.43,3.38,13.59,16.97,38.82,28.99,13.57,78.56,2.64
北北基桃竹苗,2017,21,24.83,4.04,13.33,17.34,32.5,30.03,13.04,78.82,2.91
北北基桃竹苗,2017,22,26.44,4.27,12.15,16.39,28.9,24.57,11.38,80.91,2.3
北北基桃竹苗,2017,23,28.02,5.16,13.53,18.66,25.47,35.21,18.3,80.41,3.15
北北基桃竹苗,2017,24,25.97,6.07,13.37,19.42,23.34,21.11,8.43,85.69,2.29
北北基桃竹苗,2017,25,28.06,8.06,12.24,20.27,17.51,24.45,10.3,75.94,2.75
北北基桃竹苗,2017,26,29.37,4.7,11.82,16.53,23.82,29.92,13.65,73.68,3.14
北北基桃竹苗,2017,27,28.87,5.79,12.13,17.89,19.44,23.93,9.19,75.99,2.7
北北基桃竹苗,2017,28,29.88,5.31,12.27,17.62,20.75,28.18,12.5,74.42,3.09
北北基桃竹苗,2017,29,30.49,4.55,11.24,15.65,24.49,30.44,14.54,70.3,3.13
北北基桃竹苗,2017,30,30.01,4.25,11.17,15.4,25.46,30.64,15.87,73.94,3.01
北北基桃竹苗,2017,31,29.26,5.17,12.71,17.8,24.3,31.31,14.0,76.63,2.75
北北基桃竹苗,2017,32,31.12,4.64,10.43,15.0,22.43,32.16,14.15,68.87,2.75
北北基桃竹苗,2017,33,30.21,4.6,12.19,16.79,24.98,31.29,17.19,71.84,3.46
